ID,partita,punti,stagione,campo,campionato
6774,Bc Gardolo 68 - Apecheronza Avio 77,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
6775,Junior Bk Rovereto 76 - Bc Gardolo 64,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,"SCUOLA M. """"D. CHIESA""""",Promozione
6777,Bc Gardolo 61 - Apecheronza Avio 69,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6778,Virtus Altogarda Junior 66 - Bc Gardolo 61,"a:2:{i:3431;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra ENAIP,Promozione
6779,Bc Gardolo 74 - Virtus Altogarda 56,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3378;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6780,Bc Gardolo U20 79 - Bc Gardolo 84,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""84"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6781,Bc Gardolo 97 - Piani Junior 44,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""97"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6782,Blue Bear Villazzano A 43 - Bc Gardolo 78,"a:2:{i:5787;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PalaBocchi,Promozione
6783,Bc Gardolo 61 - Blue Bear Villazzano B 30,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6784;a:2:{s:6:""points"";s:2:""30"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6785,Gs Belvedere 60 - Bc Gardolo 53,"a:2:{i:6786;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA NAVARINI,Promozione
6787,Bc Gardolo 84 - Junior Bk Rovereto 81,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""84"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6747;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6788,Apecheronza Avio 59 - Bc Gardolo 68,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA,Promozione
6789,Bc Gardolo 81 - Virtus Altogarda Junior 50,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3431;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6790,Virtus Altogarda 67 - Bc Gardolo 60,"a:2:{i:3378;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Pal. 'E. Impera',Promozione
6791,Bc Gardolo 72 - Bc Gardolo U20 85,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6793,Piani Junior 49 - Bc Gardolo 86,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"Pal. Scuola Media """"E. Fermi""""",Promozione
6794,Bc Gardolo 56 - Blue Bear Villazzano A 61,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5787;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6795,Blue Bear Villazzano B 67 - Bc Gardolo 64,"a:2:{i:6784;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA 'MANAZZON',Promozione
6796,Bc Gardolo 54 - Gs Belvedere 33,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6786;a:2:{s:6:""points"";s:2:""33"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6797,Charly Merano 61 - Gardolo 91,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SEGANTINI,Serie D
6798,Bc Gardolo 71 - Piani Junior 65,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6799,Europa Bolzano 65 - Gardolo 85,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,SC. MEDIA ADA NEGRI,Serie D
6800,Bc Gardolo 81 - Pall. Villazzano 38,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""38"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6801,Cus Trento 64 - Bc Gardolo 67,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SANBAPOLIS,Serie D
6802,Psg Villafranca 85 - Bc Gardolo 91,"a:2:{i:6663;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA ISTITUTO CARLO ANTI,Serie D
6803,Gardolo 77 - Pergine Audace 76,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6804,Gardolo 85 - Charly Merano 65,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5782;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6805,Pall. Villazzano 63 - Bc Gardolo 77,"a:2:{i:5778;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Serie D
6818,Bc Gardolo 85 - Pergine Audace 60,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Coppa Trentino Serie D
6819,Bc Gardolo 56 - Cus Trento 67,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6661;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Coppa Trentino Serie D
6880,Us Brunico 23 - Bc Gardolo 129,"a:2:{i:5770;a:2:{s:6:""points"";s:2:""23"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:3:""129"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Handelsoberschuele,Under 14
6883,Olimpia Bk Bolzano A 66 - Bc Gardolo 68,"a:2:{i:6884;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"Pal. Scuola Media """"E. Fermi""""",Under 14
6887,Charly Merano 34 - Bc Gardolo 106,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""34"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:3:""106"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SEGANTINI,Under 14
6888,Bc Gardolo 86 - Olimpia Bk Bolzano B 48,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6889;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
6890,Bc Gardolo 101 - Us Brunico 33,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""101"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5770;a:2:{s:6:""points"";s:2:""33"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
6891,Maia Merano 71 - Bc Gardolo 53,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,"Palestra """"Segantini""""",Under 14
6892,Bc Gardolo 60 - Olimpia Bk Bolzano A 82,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6884;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
6893,Pall. Villazzano Rosso 65 - Bc Gardolo 37,"a:2:{i:6886;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""37"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Under 14
6895,Olimpia Bk Bolzano B 24 - Bc Gardolo 73,"a:2:{i:6889;a:2:{s:6:""points"";s:2:""24"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"Pal. Scuola Media """"E. Fermi""""",Under 14
6896,Bc Gardolo U20 69 - Piani Junior 39,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""39"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6897,Gs Belvedere 71 - Bc Gardolo U20 49,"a:2:{i:6786;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA NAVARINI,Promozione
6898,Olimpia Bk Bolzano 78 - Bc Gardolo U20 58,"a:2:{i:6745;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,"Pal. Scuola Media """"E. Fermi""""",Promozione
6899,Bc Gardolo U20 60 - Junior Bk Rovereto 79,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6747;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6900,Apecheronza Avio 79 - Bc Gardolo U20 74,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA,Promozione
6901,Bc Gardolo U20 69 - Virtus Altogarda Junior 73,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3431;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6902,Piani Junior 43 - Bc Gardolo U20 68,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"Pal. Scuola Media """"E. Fermi""""",Promozione
6903,Bc Gardolo U20 58 - Blue Bear Villazzano A 47,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5787;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6904,Blue Bear Villazzano B 60 - Bc Gardolo U20 74,"a:2:{i:6784;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA 'MANAZZON',Promozione
6905,Bc Gardolo U20 50 - Gs Belvedere 63,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6786;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6906,Bc Gardolo U20 63 - Olimpia Bk Bolzano 46,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6745;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6907,Junior Bk Rovereto 82 - Bc Gardolo U20 67,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,"SCUOLA M. """"D. CHIESA""""",Promozione
6908,Bc Gardolo U20 49 - Apecheronza Avio 77,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
6909,Virtus Altogarda Junior 67 - Bc Gardolo U20 62,"a:2:{i:3431;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra ENAIP,Promozione
6944,Trentino Basket 47 - Bc Gardolo 64,"a:2:{i:6945;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,ISTITUTO SUPERIORE ALCIDE DEGA,Under 13
6949,Bc Gardolo 57 - Pall. Villazzano 60,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5778;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
6951,Aquila Basket Trento 87 - Bc Gardolo 31,"a:2:{i:5780;a:2:{s:6:""points"";s:2:""87"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""31"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PalaBocchi,Under 13
6952,Bc Gardolo 44 - Junior Basket Rovereto 32,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5777;a:2:{s:6:""points"";s:2:""32"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
6953,Virtus Altogarda 82 - Bc Gardolo 33,"a:2:{i:3378;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""33"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra ENAIP,Under 13
6954,Bc Gardolo 27 - Junior Basket Trento 129,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""27"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6955;a:2:{s:6:""points"";s:3:""129"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
6956,Bc Gardolo 65 - Trentino Basket 48,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6945;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
6957,Pall. Villazzano 70 - Bc Gardolo 54,"a:2:{i:5778;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Under 13
6958,Apecheronza Avio 63 - Bc Gardolo 46,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA,Under 13
6959,Bc Gardolo 39 - Aquila Basket Trento 64,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""39"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5780;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
6960,Junior Basket Rovereto 44 - Bc Gardolo 70,"a:2:{i:5777;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"SCUOLA M. """"D. CHIESA""""",Under 13
6961,Bc Gardolo 22 - Virtus Altogarda 99,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""22"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3378;a:2:{s:6:""points"";s:2:""99"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
6962,Junior Basket Trento 103 - Bc Gardolo 13,"a:2:{i:6955;a:2:{s:6:""points"";s:3:""103"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""13"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA 'MANAZZON',Under 13
7123,Bc Gardolo 67 - Maia Merano 71,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5771;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7124,Bc Gardolo 46 - Pall. Villazzano Rosso 87,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6886;a:2:{s:6:""points"";s:2:""87"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7125,Bc Gardolo 108 - Charly Merano 53,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""108"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5782;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7127,Pergine Audace 45 - Bc Gardolo 94,"a:2:{i:5789;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""94"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Palestra ''Garbari'',Serie D
7315,Bc Gardolo 49 - Apecheronza Avio 51,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
7317,Bc Gardolo 57 - Maia Merano 95,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5771;a:2:{s:6:""points"";s:2:""95"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
7318,Gardolo - Basket Pergine,NULL,2017/2018,Centro Sportivo Trento Nord,Under 16
7321,Mb Gardolo 14 - Mb Arcobaleno A 10,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""14"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7322;a:2:{s:6:""points"";s:2:""10"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Aquilotti
7328,Mb Gardolo 18 - Mb Trento B 6,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7329;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Aquilotti
7330,Mb Virtus Altogarda 6 - Mb Gardolo 18,"a:2:{i:7331;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7314;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,SC. ELEM. PERNICI,Aquilotti
7332,Mb Gardolo 10 - Mb Alto Adige Suedtirol A 14,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""10"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7333;a:2:{s:6:""points"";s:2:""14"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Aquilotti
7334,Mb Gardolo 10 - Mb Trento A 14,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""10"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7335;a:2:{s:6:""points"";s:2:""14"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Aquilotti
7336,Mb Junior Rovereto A 9 - Mb Gardolo 15,"a:2:{i:7337;a:2:{s:6:""points"";s:1:""9"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7314;a:2:{s:6:""points"";s:2:""15"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Palestra Istituto Alberghiero,Aquilotti
7338,Mb Arcobaleno A 14 - Mb Gardolo 10,"a:2:{i:7322;a:2:{s:6:""points"";s:2:""14"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7314;a:2:{s:6:""points"";s:2:""10"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Civico di Povo,Aquilotti
7339,Mb Gardolo 18 - Mb Apecheronza Avio A 6,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7327;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,c.s. la vela palestra,Aquilotti
