ID,partita,punti,stagione,campo,campionato
5926,Virtus Altogarda A - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5783;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,SC. ELEM. PERNICI,Under 16
5927,Pall. Villazzano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA S.M. PASCOLI,Under 16
5928,Gardolo - Virtus Altogarda B,"a:2:{i:3397;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 16
5929,Maia Merano B - Gardolo,"a:2:{i:3399;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Palestra """"Segantini""""",Under 16
5930,Gardolo - Apecheronza Avio,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 16
5931,Gardolo - Us Piani Bolzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5790;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 18
5932,Charly Merano B - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5791;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA SEGANTINI,Under 18
5934,Us Piani Bolzano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5790;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Under 18
5935,Gardolo - Charly Merano B,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5791;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 18
5936,Charly Merano A - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5792;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALESTRA SEGANTINI,Under 18
5937,Gardolo - Pall. Villazzano B,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5784;a:2:{s:6:""points"";s:2:""38"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 18
5938,Basket Pergine - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5776;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Palestra ''Garbari'',Under 18
5939,Crcsd Paganella - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""122"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5781;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALAVIS,Under 18
5940,Gardolo - Pall. Villazzano A,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5772;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 18
5941,Junior Basket Rovereto - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5777;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"SCUOLA M. """"D. CHIESA""""",Under 18
5942,Pall. Villazzano B - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5784;a:2:{s:6:""points"";s:2:""34"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA S.M. PASCOLI,Under 18
5943,Gardolo - Basket Pergine,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5776;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 18
5944,Us Brunico - Gardolo U20,"a:2:{i:5770;a:2:{s:6:""points"";s:2:""20"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:1:""0"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Handelsoberschuele,Promozione
5945,Piani Junior - Gardolo U20,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Promozione
5946,Apecheronza Avio - Gardolo U20,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA,Promozione
5947,Gardolo - Gardolo U20,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5948,Gardolo U20 - Maia Merano,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5949,Blue Bear Villazzano A - Gardolo U20,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5787;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PalaBocchi,Promozione
5950,Gardolo U20 - Gs Belvedere Trento,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5788;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5951,Olimpia Basket Bolzano - Gardolo U20,"a:2:{i:5773;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALAMAZZALI,Promozione
5952,Gardolo U20 - Virtus Altogarda Junior,"a:2:{i:3431;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5953,Virtus Altogarda - Gardolo U20,"a:2:{i:3378;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Pal. 'E. Impera',Promozione
5954,Gardolo U20 - Us Brunico,"a:2:{i:5770;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5955,Gardolo U20 - Piani Junior,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5956,Gardolo U20 - Apecheronza Avio,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5957,Gardolo U20 - Gardolo,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5958,Maia Merano - Gardolo U20,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Palestra """"Segantini""""",Promozione
5959,Gardolo U20 - Blue Bear Villazzano A,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5787;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5960,Blue Bear Villazzano A - Gardolo,"a:2:{i:5787;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PalaBocchi,Promozione
5961,Piani Junior - Gardolo,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Promozione
5962,Gardolo - Olimpia Basket Bolzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5773;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5963,Apecheronza Avio - Gardolo,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA,Promozione
5964,Gardolo - Maia Merano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5771;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5965,Gardolo - Gs Belvedere Trento,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5788;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5966,Virtus Altogarda Junior - Gardolo,"a:2:{i:3431;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Palestra ENAIP,Promozione
5967,Gardolo - Virtus Altogarda,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3378;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5968,Us Brunico - Gardolo,"a:2:{i:5770;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Handelsoberschuele,Promozione
5969,Gardolo - Piani Junior,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""40"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5970,Olimpia Basket Bolzano - Gardolo,"a:2:{i:5773;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Promozione
5971,Gardolo - Apecheronza Avio,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3401;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5972,Maia Merano - Gardolo,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"Palestra """"Segantini""""",Promozione
